Drug,KW_stat,p_value,p_fdr,significant_fdr
HMN-214 (BRD:BRD-K70511574-001-06-9),5.2292490118577035,0.07319526792565764,0.46767553400576445,False
OXIRACETAM (BRD:BRD-K50677762-001-01-5),5.202546296296304,0.07417907711548796,0.46812672178128456,False
TRAMETINIB (BRD:BRD-K12343256-001-14-7),5.194242360379334,0.07448770653322058,0.46812672178128456,False
SAR131675 (BRD:BRD-K38904395-001-02-3),5.185087719298238,0.07482944216244464,0.46812672178128456,False
BINIMETINIB (BRD:BRD-K82244583-001-01-3),5.179365079365084,0.07504385975176756,0.46812672178128456,False
RIGOSERTIB (BRD:BRD-K55187425-236-05-2),5.169344448654783,0.07542079665243383,0.46812672178128456,False
SAVOLITINIB (BRD:BRD-K98028353-001-02-8),5.160411884857534,0.07575840054718361,0.46812672178128456,False
MONENSIN (BRD:BRD-A06627858-236-03-0),5.153418525738227,0.07602376707833043,0.46812672178128456,False
FULVESTRANT (BRD:BRD-A85667082-001-12-7),5.134181415929199,0.07675853388863971,0.46812672178128456,False
AT13387 (BRD:BRD-K58435339-001-03-0),5.133876468359233,0.07677023844512779,0.46812672178128456,False
2-METHOXYESTRADIOL (BRD:BRD-K44408410-001-17-6),5.126190476190473,0.07706583379295698,0.46812672178128456,False
ESTRONE (BRD:BRD-K81839095-001-30-1),5.1155172413793215,0.07747820401533098,0.46812672178128456,False
AR-12 (BRD:BRD-K90497590-001-04-2),5.100649350649348,0.07805631892590073,0.46812672178128456,False
SEVOFLURANE (BRD:BRD-K05638300-001-01-2),5.100288600288607,0.0780703996183716,0.46812672178128456,False
GASTRODIN (BRD:BRD-K81613478-001-01-8),5.097041847041851,0.07819724020725748,0.46812672178128456,False
PIRETANIDE (BRD:BRD-K87990216-001-10-2),5.065789473684205,0.07942876181469812,0.46847737713031273,False
NVP-TAE 684 (BRD:BRD-K50140147-001-10-1),5.058771929824559,0.0797079487397634,0.46847737713031273,False
